BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
131,Australia,1950,MF,15,999,1.1,44.9,26,40,19.3,14,8,8.6356,5.3683,2.8262,0.4411,6040,AUS,Advanced Economies
131,Australia,1955,MF,15,999,1,39.9,22.3,43.9,20.8,15.3,8.7,8.9821,5.4139,3.0881,0.4801,6533,AUS,Advanced Economies
131,Australia,1960,MF,15,999,0.9,35.6,19.4,47,22.1,16.5,9.4,9.2958,5.4633,3.3143,0.5182,7183,AUS,Advanced Economies
131,Australia,1965,MF,15,999,0.8,31.3,16.9,50.2,23.3,17.7,9.9,9.6086,5.521,3.5363,0.5513,8105,AUS,Advanced Economies
131,Australia,1970,MF,15,999,0.8,23.7,12.7,56.3,26.4,19.3,10.6,10.1561,5.6237,3.9345,0.5979,9057,AUS,Advanced Economies
131,Australia,1975,MF,15,999,1.1,14.2,7.3,62.9,31.6,21.8,12,10.857,5.7259,4.4544,0.6768,9865,AUS,Advanced Economies
131,Australia,1980,MF,15,999,0.8,6.1,3.2,69,36,24.1,13.4,11.5405,5.865,4.9254,0.7501,10937,AUS,Advanced Economies
131,Australia,1985,MF,15,999,0.8,6.5,3.5,68.6,36.9,24,13.8,11.5407,5.8602,4.9242,0.7562,11973,AUS,Advanced Economies
131,Australia,1990,MF,15,999,0.7,5.7,3.2,68.2,37.7,25.5,14.7,11.6021,5.8847,4.9128,0.8046,13178,AUS,Advanced Economies
131,Australia,1995,MF,15,999,0.7,4.9,2.9,66.5,37.4,27.9,16.4,11.6796,5.8942,4.8994,0.886,14009,AUS,Advanced Economies
131,Australia,2000,MF,15,999,0.7,4.3,2.6,65,37.6,30.1,18,11.7711,5.9083,4.9016,0.9612,15028,AUS,Advanced Economies
131,Australia,2005,MF,15,999,0.7,3.5,2.3,64.1,37.4,31.7,18.9,11.8724,5.9215,4.9386,1.0124,16199,AUS,Advanced Economies
131,Australia,2010,MF,15,999,0.9,2.8,1.9,61.8,37,34.5,20.6,12.1186,6.0029,5.0143,1.1014,17323,AUS,Advanced Economies
107,Austria,1950,MF,15,999,2.8,91.2,56,4,2.5,1.9,1.1,3.6574,3.1814,0.415,0.061,5354,AUT,Advanced Economies
107,Austria,1955,MF,15,999,2.5,90.9,56.3,4.6,2.8,2,1.1,3.7169,3.2054,0.4499,0.0616,5399,AUT,Advanced Economies
107,Austria,1960,MF,15,999,2.2,86.7,54.3,8.9,5.2,2.1,1.2,4.0531,3.2592,0.7284,0.0655,5490,AUT,Advanced Economies
107,Austria,1965,MF,15,999,3.3,70.8,46.7,23.6,13.9,2.3,1.3,5.1339,3.384,1.679,0.071,5571,AUT,Advanced Economies
107,Austria,1970,MF,15,999,3.7,57.7,39.6,36.1,21.3,2.5,1.4,6.0672,3.4918,2.4971,0.0783,5647,AUT,Advanced Economies
107,Austria,1975,MF,15,999,1.4,53.3,37.6,42.5,25.2,2.8,1.6,6.6498,3.6295,2.9323,0.088,5818,AUT,Advanced Economies
107,Austria,1980,MF,15,999,0.1,49.2,35.7,48,28.6,2.7,1.5,7.0884,3.7249,3.2785,0.0849,6006,AUT,Advanced Economies
107,Austria,1985,MF,15,999,0.4,44.6,32.7,50.7,31.3,4.3,2.5,7.5138,3.7479,3.6288,0.137,6191,AUT,Advanced Economies
107,Austria,1990,MF,15,999,0.9,39.7,29.3,54.3,34.9,5.2,3,7.8994,3.7565,3.9791,0.1639,6380,AUT,Advanced Economies
107,Austria,1995,MF,15,999,1.3,33.9,25.6,56,37.3,8.8,5.3,8.4947,3.7812,4.432,0.2815,6636,AUT,Advanced Economies
107,Austria,2000,MF,15,999,1.3,29.9,22.7,57.1,38.8,11.7,7.2,8.9473,3.8025,4.7678,0.3769,6753,AUT,Advanced Economies
107,Austria,2005,MF,15,999,1.3,25.8,19.7,58.8,39.2,14,8.6,9.3176,3.8241,5.0413,0.4521,6921,AUT,Advanced Economies
107,Austria,2010,MF,15,999,1.3,23.3,17.9,63,44.7,12.4,7.5,9.5353,3.8397,5.2982,0.3974,7090,AUT,Advanced Economies
108,Belgium,1950,MF,15,999,3.1,68.4,49.2,25.2,7.3,3.3,2.4,6.522,5.2374,1.1714,0.1132,6833,BEL,Advanced Economies
108,Belgium,1955,MF,15,999,2.6,65.8,47.3,27.9,8,3.7,2.7,6.7131,5.2858,1.299,0.1283,6935,BEL,Advanced Economies
108,Belgium,1960,MF,15,999,2.2,62.8,45.1,30.5,9,4.5,3.4,6.9477,5.336,1.4537,0.158,7001,BEL,Advanced Economies
108,Belgium,1965,MF,15,999,1.4,61,44.4,32.3,9.6,5.3,4.1,7.181,5.4192,1.5749,0.187,7204,BEL,Advanced Economies
108,Belgium,1970,MF,15,999,1.3,57.1,42.9,35.1,11.3,6.6,5.1,7.5176,5.4974,1.7862,0.2339,7378,BEL,Advanced Economies
108,Belgium,1975,MF,15,999,1.6,50.9,39.6,39,17.8,8.5,6.9,8.0898,5.5652,2.2162,0.3083,7624,BEL,Advanced Economies
108,Belgium,1980,MF,15,999,2.3,44.7,35.2,42.3,21.6,10.7,8.5,8.5272,5.5805,2.5624,0.3844,7884,BEL,Advanced Economies
108,Belgium,1985,MF,15,999,2.7,39.1,30.5,44.9,24.6,13.3,10.6,8.9337,5.5759,2.8807,0.4771,8003,BEL,Advanced Economies
108,Belgium,1990,MF,15,999,3.2,29.1,22.2,50.2,28.4,17.5,12.8,9.6136,5.6003,3.4082,0.6052,8162,BEL,Advanced Economies
108,Belgium,1995,MF,15,999,3.7,25.5,18.4,50.7,29.9,20.1,14.8,9.8917,5.5667,3.6251,0.6998,8315,BEL,Advanced Economies
108,Belgium,2000,MF,15,999,4.1,21.9,14.9,51.6,31.4,22.4,16.6,10.1604,5.5436,3.836,0.7808,8510,BEL,Advanced Economies
108,Belgium,2005,MF,15,999,4.7,16.7,11.4,54.2,32.6,24.4,18.1,10.4736,5.5581,4.066,0.8495,8667,BEL,Advanced Economies
108,Belgium,2010,MF,15,999,4.9,16.5,10.7,54.6,36.1,24,19.3,10.5453,5.5329,4.1476,0.8649,8815,BEL,Advanced Economies
50,Canada,1950,MF,15,999,2,49.9,25.7,39.5,16.4,8.6,4.4,7.6027,5.152,2.1917,0.259,9660,CAN,Advanced Economies
